GeneSymbol,Combined T/B,FDR,Affy T/B,Agilent T/B,Illum T/B,Nimbl T/B,AffyT.1,AffyT.2,AffyT.3,AffyB.1,AffyB.2,AffyB.3,AgilT.1,AgilT.2,AgilT.3,AgilB.1,AgilB.2,IllumT.1,IllumT.2,IllumT.3,IllumB.1,IllumB.2,IllumB.3,NimbT.1,NimbT.2,NimbT.3,NimbB.1,NimbB.2,NimbB.3
B3gnt5,0.030,0.000633333333333,0.038,0.013,0.033,0.035,12.4,12.6,13.1,376.1,304.5,325.0,4.3,4.0,4.9,316.0,338.9,55.0,51.6,60.7,1763.9,1664.6,1593.2,111.2,89.6,67.3,2550.3,2034.7,3069.8
Tcf4,0.030,<0.00003,,0.022,0.036,0.033,13.7,12.5,15.6,125.2,156.2,155.7,18.6,29.0,33.1,1029.7,1446.6,82.4,90.2,84.6,2298.2,2573.9,2316.6,572.1,357.4,378.8,12892.6,12001.4,14208.3
Il12a,0.031,<0.00003,,0.024,0.040,0.027,12.2,9.8,12.1,60.2,63.7,64.6,6.0,9.8,9.3,340.0,345.4,26.8,29.3,30.2,656.4,726.9,767.5,22.9,29.0,18.1,897.8,767.6,913.4
Kynu,0.031,0.000533333333333,0.034,0.023,0.057,0.009,4.3,6.2,6.8,179.3,140.6,189.3,1.8,1.8,2.7,77.6,103.9,21.9,22.8,22.1,335.1,438.9,401.1,43.0,15.9,23.8,2742.4,3728.8,3218.2
Haao,0.031,<0.00003,0.056,,0.019,0.019,19.4,14.2,9.4,229.1,246.8,295.2,,,,,,24.5,22.9,22.7,1171.7,1274.6,1335.8,85.2,113.8,77.7,6035.4,4745.2,3726.5
A530023o14Rik,0.031,<0.00003,,0.021,0.052,0.021,,,,,,,8.6,7.0,7.0,328.6,404.0,17.4,19.6,13.6,311.8,300.9,351.6,41.8,21.7,28.1,1541.1,1396.1,1515.2
Bcar3,0.031,3.33333333333333E-05,0.030,0.004,,0.061,8.5,8.0,13.7,337.1,295.3,373.8,3.2,9.8,3.4,1362.6,1502.0,21.8,26.0,26.3,170.8,192.0,156.6,323.7,94.1,59.0,753.2,3053.4,4064.4
Cd36,0.032,<0.00003,0.057,0.027,,0.012,4.8,4.1,4.9,92.3,70.1,80.5,5.9,18.1,6.1,302.8,454.9,14.1,25.9,17.2,18.2,28.5,16.1,16.2,21.4,18.5,1507.0,1707.8,1583.9
Ceacam1,0.036,<0.00003,0.053,0.036,,0.018,8.1,8.9,7.8,191.4,146.3,127.7,4.9,2.6,5.9,102.7,147.3,31.6,38.5,34.6,125.9,116.2,150.7,40.6,25.6,26.6,1895.2,1616.1,1633.3
Sdc4,0.036,3.33333333333333E-05,,0.017,0.056,0.035,18.0,15.1,19.7,145.8,141.5,160.3,29.2,30.1,22.9,1749.0,1493.1,29.9,40.6,39.8,575.8,610.6,771.9,365.9,282.6,269.0,9643.1,8771.6,7432.4
Cd72,0.037,0.0006,0.025,0.023,0.041,0.058,16.6,22.7,13.3,713.2,668.0,714.9,66.6,107.0,76.8,4052.0,3268.0,168.0,171.7,183.9,4481.4,3826.1,4433.1,958.7,744.5,884.7,18165.5,13158.3,13195.0
Plek,0.037,<0.00003,,0.038,0.061,0.011,,,,,,,20.6,25.9,18.2,586.2,537.0,29.1,25.4,25.7,478.1,442.8,391.8,140.0,137.2,69.2,11347.2,8439.6,12072.4
Icosl,0.037,<0.00003,0.053,0.010,,0.049,15.5,12.4,14.7,274.9,255.7,277.2,20.2,45.6,20.0,3048.0,2904.0,31.6,49.2,36.4,122.2,101.4,116.6,78.2,33.5,21.2,870.2,869.1,996.3
Dok3,0.038,<0.00003,0.058,0.019,0.036,,17.9,26.8,20.1,409.0,352.6,348.0,64.7,54.0,50.9,3342.0,2764.0,248.3,242.2,221.0,6080.1,6101.7,7470.7,71.3,155.8,168.3,867.7,968.3,507.4
Pou2af1,0.038,<0.00003,0.050,0.021,0.044,,27.1,33.2,40.8,668.3,696.5,673.6,545.9,759.4,552.4,30840.0,28220.0,119.8,116.3,131.1,2988.6,2763.2,2623.2,623.2,414.6,560.9,4605.7,5544.4,5251.2
Fer1l3,0.040,6.66666666666667E-05,,0.013,0.079,0.028,,,,,,,11.0,2.0,2.0,307.4,469.2,30.0,27.0,26.0,321.5,394.4,336.9,35.8,55.4,56.8,1657.6,1609.9,1944.1
Cd40,0.040,0.000133333333333,0.112,0.005,,0.004,14.0,15.4,22.4,166.7,139.1,155.8,6.8,2.1,2.5,774.5,737.4,,,,,,,46.3,67.2,31.6,10832.5,12812.6,11095.9
H2-ob,0.041,<0.00003,,0.029,0.047,0.046,,,,,,,12.2,21.5,17.6,665.4,504.8,46.6,39.3,45.6,884.1,964.9,963.3,298.5,380.6,350.7,7823.3,7150.8,7415.4
Serpina3g,0.042,3.33333333333333E-05,,0.022,0.050,0.053,7.3,8.0,8.6,23.7,25.5,21.3,43.8,28.1,48.7,1777.8,1901.4,100.2,94.8,98.1,1975.1,2063.6,1848.5,192.3,159.1,146.5,3224.7,3135.6,3030.3
Cd83,0.043,0.000633333333333,0.070,0.018,0.035,0.048,16.0,24.0,17.1,276.9,254.6,290.1,83.7,97.9,106.4,5502.0,5172.0,65.6,66.4,69.4,1913.0,2208.3,1675.0,134.9,54.8,55.8,2051.1,1692.7,1377.1
Lat2,0.043,<0.00003,0.097,0.016,,0.015,16.8,12.3,17.5,168.6,146.2,164.8,17.3,33.1,16.6,1255.1,1493.1,,,,,,,44.0,29.1,53.9,3442.3,2465.1,2802.7
